Year,huc12,histogram
2012,170402080608,"{1=95172.59607843145, 0=221112.51764705905}"
2012,170402080102,"{1=1762.0, 0=153178.4862745102}"
2012,170402080104,"{1=3656.450980392156, 0=109957.4156862746}"
2012,170402080106,"{1=4503.913725490198, 0=100956.39215686293}"
2012,170402080107,"{1=6723.960784313726, 0=133643.28235294137}"
2012,170402080105,"{1=9672.313725490196, 0=116892.74901960797}"
2012,170402080108,"{1=25880.023529411767, 0=148390.34901960776}"
2012,170402080211,"{1=6484.298039215687, 0=229934.38431372555}"
2012,170402080506,"{1=3590.6627450980395, 0=118398.72156862752}"
2012,170402080602,"{1=385.81960784313725, 0=155878.6705882353}"
2012,170402080603,"{1=1960.6823529411758, 0=154450.7019607845}"
2012,170402080605,"{1=69642.91764705878, 0=204049.40784313716}"
2012,170402080607,"{1=63694.196078431414, 0=106937.51764705888}"
2012,170402080606,"{1=51244.0117647059, 0=58964.039215686265}"
2012,170402080507,"{1=11266.690196078433, 0=131376.33333333334}"
2012,170402080101,"{1=430.99607843137255, 0=148020.86274509813}"
2012,170402080103,"{1=195.22745098039218, 0=56769.15294117657}"
2012,170402080206,"{1=167.0, 0=115587.44313725483}"
2012,170402080501,"{1=4606.219607843137, 0=153129.37254901964}"
2012,170402080502,"{1=912.3176470588235, 0=65184.23921568628}"
2012,170402080503,"{1=3097.6862745098038, 0=160178.2039215681}"
2012,170402080504,"{1=642.9647058823532, 0=189931.19215686287}"
2012,170402080505,"{1=2436.992156862745, 0=131665.25882352944}"
2012,170402080601,"{1=150.0, 0=143716.2117647059}"
2012,170402080604,"{1=16897.568627450975, 0=87622.28235294133}"
2012,170402080305,"{1=647.0, 0=102538.95686274506}"
2012,170402080306,"{1=11140.584313725487, 0=102996.41960784316}"
2012,170402080201,"{1=5981.890196078428, 0=81442.47450980401}"
2012,170402080203,"{1=2548.5882352941176, 0=48656.91764705892}"
2012,170402080202,"{1=19652.909803921564, 0=195392.98823529403}"
2012,170402080204,"{1=62253.117647058745, 0=157887.7647058824}"
2012,170402080208,"{1=1680.8901960784315, 0=84141.76862745102}"
2012,170402080209,"{1=2090.2039215686273, 0=155515.79999999976}"
2012,170402080207,"{1=3997.101960784314, 0=146391.25882352924}"
2012,170402080210,"{1=6118.988235294118, 0=127780.2039215688}"
2012,170402080301,"{1=1.0, 0=75122.63137254893}"
2012,170402080303,"{1=1790.870588235294, 0=78970.549019608}"
2012,170402080302,"{1=9181.06274509804, 0=179054.50588235245}"
2012,170402080304,"{1=5971.105882352941, 0=140054.28627450965}"
2012,170402080307,"{1=13306.101960784312, 0=176920.50980392157}"
2012,170402080308,"{1=14867.87843137255, 0=108790.83137254909}"
2012,170402080401,"{1=18279.988235294117, 0=154400.60392156878}"
2012,170402080403,"{1=9155.490196078432, 0=118830.65098039205}"
2012,170402080205,"{1=5823.650980392156, 0=93304.32549019609}"
2012,170402080402,"{1=5226.733333333334, 0=108952.73333333334}"
2012,170402080404,"{1=3503.7254901960787, 0=156477.21176470586}"
