Year,huc12,histogram
2005,170402080608,"{25=2013.0980392156862, 176=61921.14117647063, 1=1714.4901960784314, 61=12400.352941176474, 24=42804.90196078428, 36=6015.341176470589, 88=2387.7294117647057, 63=3559.164705882354, 83=69207.90588235296, 82=6579.435294117647, 23=5466.905882352941, 81=11.392156862745098, 41=2044.6901960784314, 43=9694.407843137255, 21=5572.956862745097}"
2005,170402080102,"{1=60.15294117647059, 61=17284.70980392157, 24=296.8039215686274, 25=99.49803921568628, 36=2161.1372549019607, 88=58.0, 82=400.6941176470589, 63=49244.16078431372, 23=51.0, 176=42639.431372549036, 43=118.0, 21=907.0}"
2005,170402080104,"{25=109.45490196078431, 176=31861.035294117646, 61=7949.494117647056, 1=281.7450980392157, 28=14.0, 24=407.71372549019605, 36=3611.941176470589, 88=190.35294117647058, 63=37204.75686274511, 82=1140.1019607843136, 23=28.95686274509804, 81=117.0, 41=1.0, 43=16.65098039215686, 21=257.30980392156863}"
2005,170402080106,"{33=55.713725490196076, 25=280.57254901960783, 176=28334.76862745097, 1=121.96862745098039, 61=20361.654901960777, 24=384.0196078431373, 36=2000.5333333333335, 88=43.741176470588236, 83=94.0, 82=63.21960784313726, 63=24496.262745098025, 23=89.0, 41=43.0, 43=403.94117647058835, 21=441.6549019607843}"
2005,170402080107,"{33=4.2784313725490195, 25=742.278431372549, 176=48873.03137254901, 1=148.57647058823528, 61=17310.686274509815, 24=1896.7058823529412, 36=7483.537254901961, 88=87.25098039215686, 82=98.43921568627451, 63=24332.03529411763, 23=192.0, 41=262.10196078431375, 43=1150.2470588235294, 21=317.54509803921565}"
2005,170402080105,"{33=8.0, 25=667.478431372549, 176=40333.46666666666, 1=110.0, 61=24116.799999999996, 24=1070.4156862745099, 88=142.1843137254902, 36=4819.886274509804, 43=114.0, 83=3671.0, 82=271.0, 81=1.0, 23=222.0, 41=4.0, 21=671.1333333333333, 63=16454.976470588233}"
2005,170402080108,"{33=23.0, 25=1815.6039215686276, 176=73032.10588235292, 1=290.4039215686274, 61=13795.882352941178, 24=3349.290196078431, 88=605.8196078431372, 36=8979.039215686274, 82=252.46666666666664, 21=1187.8392156862747, 23=126.0, 41=1660.4235294117648, 43=1774.7411764705885, 63=20889.043137254903}"
2005,170402080211,"{33=4.0, 25=441.843137254902, 176=75026.81960784314, 28=1.0, 1=257.30196078431374, 61=16408.972549019607, 24=6855.713725490195, 88=282.72941176470584, 36=8213.545098039209, 43=200.0, 83=10.0, 82=3307.274509803921, 81=6.0, 23=334.90196078431376, 41=22.0, 21=1086.2901960784316, 63=61165.4156862745}"
2005,170402080506,"{1=4.0, 61=7520.972549019608, 24=2286.5176470588235, 25=334.6627450980392, 36=1590.8823529411766, 88=560.129411764706, 82=13659.854901960793, 23=376.35686274509806, 176=45205.00392156861, 21=527.4156862745099, 63=17248.007843137253}"
2005,170402080602,"{33=2674.0, 25=512.9529411764705, 176=76370.90980392153, 1=35.411764705882355, 61=8877.800000000016, 24=1020.5254901960784, 36=640.5764705882352, 88=10.0, 82=877.6941176470589, 23=256.47058823529414, 81=1.0, 21=273.62745098039215, 43=6.0, 63=22657.90196078432}"
2005,170402080603,"{25=190.6823529411765, 176=44223.79215686277, 61=17321.05882352942, 1=104.69411764705882, 28=4.509803921568627, 24=993.8941176470587, 36=1639.8156862745097, 88=65.0, 82=745.3921568627451, 23=31.552941176470586, 81=4.0, 63=48898.54117647059, 43=73.34509803921569, 21=147.65882352941173}"
2005,170402080605,"{33=2.0, 25=1924.505882352941, 176=117503.89411764703, 1=517.6627450980392, 61=9999.215686274514, 24=29218.30196078431, 88=284.2980392156863, 36=3506.5607843137254, 21=3197.007843137255, 83=3.0, 82=6077.458823529411, 23=1956.4392156862746, 81=1.0, 41=44.0, 43=17196.61960784314, 63=8564.623529411769}"
2005,170402080607,"{25=1182.0352941176473, 176=46163.45882352937, 1=550.9372549019608, 61=14179.729411764707, 24=32303.40784313725, 88=973.9686274509804, 36=3078.141176470588, 83=3201.439215686272, 21=1731.6901960784312, 82=1806.4313725490197, 23=2626.83137254902, 81=19.0, 41=66.11764705882354, 43=12535.721568627456, 63=4140.490196078432}"
2005,170402080606,"{25=1358.7803921568627, 176=29220.9843137255, 1=225.3137254901961, 61=5817.301960784313, 24=17019.45490196079, 36=2968.5019607843133, 88=375.81960784313725, 81=1.0, 83=2.0, 82=2569.3137254901962, 21=1438.9960784313726, 23=1740.329411764706, 41=48.0, 43=15065.776470588236, 63=2687.2941176470595}"
2005,170402080507,"{25=356.27058823529416, 176=63408.29019607836, 1=94.27058823529411, 61=4725.572549019609, 24=5495.439215686274, 88=513.5176470588235, 36=2127.5529411764696, 63=5093.799999999999, 83=88.0078431372549, 82=19946.674509803914, 81=2.0, 23=634.2352941176472, 41=24.57254901960784, 43=1109.5725490196078, 21=844.7960784313725}"
