Year,huc12,histogram
2022,170402080608,"{52=31203.607843137277, 95=7425.509803921568, 11=52823.09019607837, 31=2134.235294117647, 71=6138.172549019609, 24=121.65098039215684, 90=20697.80784313727, 82=87487.59215686291, 81=3792.439215686274, 23=2684.992156862746, 42=91.34117647058824, 22=11934.003921568625, 21=4859.470588235291}"
2022,170402080102,"{71=3117.6470588235316, 90=1616.0, 21=601.8980392156864, 82=199.50588235294117, 42=6599.360784313725, 81=387.0, 41=10626.274509803921, 22=14.2, 95=2320.4627450980392, 52=87838.23921568625}"
2022,170402080104,"{71=45.0, 90=1950.6313725490197, 41=4836.52156862745, 82=122.53725490196078, 42=25085.070588235296, 81=3603.8156862745095, 95=352.32156862745103, 22=60.61176470588235, 21=403.58431372549023, 52=46731.42352941182}"
2022,170402080106,"{71=1394.588235294118, 90=446.0, 11=137.0, 42=3958.749019607843, 82=5938.941176470589, 41=6315.61568627451, 81=3207.1019607843145, 21=870.7686274509803, 22=148.6627450980392, 95=330.21568627450984, 52=54466.4039215687}"
2022,170402080107,"{71=1775.427450980392, 90=335.09019607843135, 23=1.0, 21=1383.905882352941, 82=19590.882352941175, 42=5624.799999999999, 81=1447.81568627451, 41=5484.133333333333, 22=329.7294117647059, 95=402.0705882352941, 52=66523.85882352936}"
2022,170402080105,"{52=58399.30196078433, 95=1695.6588235294118, 11=2557.0, 31=477.0, 71=6988.674509803922, 90=224.0, 42=1137.0588235294117, 82=11131.992156862747, 81=6395.258823529406, 23=15.0, 41=2166.2078431372547, 22=355.956862745098, 21=1134.2313725490196}"
2022,170402080108,"{95=1292.3529411764707, 11=16.0, 52=71930.05098039216, 71=558.9254901960785, 24=2.0, 90=417.3921568627451, 23=13.0, 82=26131.18039215686, 81=12573.909803921571, 42=9605.09019607843, 41=2234.698039215686, 22=805.8862745098039, 21=2201.172549019608}"
2022,170402080211,"{95=568.3921568627451, 11=47.0, 52=111442.57647058833, 71=2715.0823529411764, 24=40.964705882352945, 90=1547.0980392156862, 41=6194.698039215687, 82=12405.0862745098, 81=6379.670588235292, 23=534.1529411764706, 42=23908.53725490194, 22=5082.341176470587, 21=2758.203921568627}"
2022,170402080506,"{71=1028.7529411764704, 24=1809.6039215686276, 90=256.48627450980393, 21=3469.5137254901965, 42=4504.729411764707, 82=1676.2431372549022, 81=193.01176470588234, 23=10140.611764705875, 41=3007.1294117647058, 22=12884.45098039216, 11=21.0, 52=50322.27058823529}"
2022,170402080602,"{71=22330.321568627438, 90=857.6941176470589, 95=369.01960784313724, 82=1380.5490196078429, 41=769.2470588235294, 81=547.7725490196078, 42=4788.541176470589, 22=514.8901960784315, 21=1088.0588235294115, 52=81568.77647058823}"
2022,170402080603,"{71=8108.639215686276, 90=3812.298039215687, 21=859.6549019607843, 82=7360.396078431371, 42=22801.670588235287, 81=1139.2117647058824, 41=8579.525490196078, 22=174.51372549019607, 95=346.9686274509804, 52=61261.0549019608}"
2022,170402080605,"{95=353.48627450980393, 11=176.0, 52=81394.98039215681, 71=38744.69411764707, 24=85.0, 90=976.4470588235295, 23=723.2235294117646, 82=64215.50196078429, 81=1634.1450980392158, 42=128.05490196078432, 41=179.06666666666666, 22=8267.494117647058, 21=3118.4941176470593}"
2022,170402080607,"{52=26066.66274509802, 11=527.4274509803921, 95=10071.403921568628, 31=43.28627450980393, 71=3564.270588235293, 24=18.313725490196077, 90=25579.30980392157, 82=51925.85882352944, 81=207.0, 23=48.68235294117647, 42=1.0, 22=4732.705882352939, 21=1773.4745098039216}"
2022,170402080606,"{71=188.2235294117647, 24=1.6823529411764706, 90=11660.698039215682, 11=25.0, 42=104.0, 82=43490.74117647056, 81=965.1764705882354, 23=33.431372549019606, 21=1063.5372549019608, 22=3287.901960784313, 95=7881.623529411764, 52=11836.850980392152}"
2022,170402080507,"{52=48618.7607843137, 11=261.8862745098039, 95=2930.266666666667, 31=182.0, 71=6394.145098039213, 24=4812.819607843137, 90=4662.490196078431, 42=385.5686274509804, 82=9301.53333333333, 81=1151.1411764705883, 23=11208.964705882348, 41=567.0078431372549, 22=11613.784313725493, 21=2374.2039215686277}"
2022,170402080101,"{71=51.258823529411764, 90=518.0, 11=1.0, 81=4.0, 82=2358.450980392156, 95=1743.7686274509804, 41=2623.1686274509802, 42=447.0, 22=69.78823529411764, 21=1481.258823529412, 52=99129.84313725494}"
