Date,huc12,mean,25th,50th,75th
2020-01-01,170402080608,13.500642473237816,2.999999999999995,19.00000000000001,21.000000000000004
2020-01-01,170402080102,17.323319920583955,17.0,18.0,18.0
2020-01-01,170402080104,12.374386575906286,2.0,14.0,20.0
2020-01-01,170402080106,19.77403846153846,18.0,21.0,21.0
2020-01-01,170402080107,11.917407213800313,2.0,17.0,19.0
2020-01-01,170402080105,17.34220013419613,17.0,19.0,19.0
2020-01-01,170402080108,5.3934186826155015,2.0,2.0,2.0
2020-01-01,170402080211,20.985094345041496,18.0,20.999999999999996,25.000000000000004
2020-01-01,170402080506,19.088857893668294,17.96783561575783,21.000000000000007,21.999999999999996
2020-01-01,170402080602,17.315015770418636,18.0,19.999999999999996,22.99999999999999
2020-01-01,170402080603,21.426493964090934,22.000000000000007,23.44955136605593,25.060618994918055
2020-01-01,170402080605,11.223728330181988,2.0565460866978666,16.0,18.12411386112582
2020-01-01,170402080607,13.99275778962039,4.0,18.000000000000004,19.019996711917656
2020-01-01,170402080606,16.970572109295475,17.311294188463943,18.56381992299689,19.553622922193444
2020-01-01,170402080507,17.604004343347185,18.0,20.999999999999996,23.000000000000004
2020-01-01,170402080101,18.57584912147558,18.000000000000004,18.000000000000004,19.999999999999996
2020-01-01,170402080103,16.415540540540544,19.0,19.0,20.0
2020-01-01,170402080206,14.73659257434887,3.0,18.0,26.0
2020-01-01,170402080501,20.874599655346895,20.0,20.0,22.0
2020-01-01,170402080502,24.424016460512078,20.999999999999982,22.99999999999999,28.000000000000007
2020-01-01,170402080503,24.973616868154842,23.0,27.999999999999996,29.999999999999993
2020-01-01,170402080504,19.975284286058724,17.999999999999996,24.86384023921401,25.0
2020-01-01,170402080505,19.112276013646895,18.0,25.167861389660253,25.167861389660253
2020-01-01,170402080601,17.376729021522,18.0,18.999999999999996,19.999999999999996
2020-01-01,170402080604,17.28820567042643,19.0,22.000000000000007,22.000000000000007
2020-01-01,170402080305,17.34328149877807,20.0,20.0,20.0
2020-01-01,170402080306,10.88390539770457,1.0,3.000000000000001,23.0
2020-01-01,170402080201,6.158764848759813,2.0,2.0,2.0
2020-01-01,170402080203,7.722222222222222,2.0,2.0,22.0
2020-01-01,170402080202,3.145503762239455,2.0,2.0,2.0
2020-01-01,170402080204,10.279356757871177,2.0,5.0,22.0
2020-01-01,170402080208,20.318181818181817,21.0,22.0,22.0
2020-01-01,170402080209,21.46163607039514,22.0,23.0,23.0
2020-01-01,170402080207,13.426496944570404,3.0,8.0,26.0
2020-01-01,170402080210,19.35463889624626,17.0,23.000000000000004,24.999999999999996
2020-01-01,170402080301,2.5,0.0,0.0,0.0
2020-01-01,170402080303,12.103401112196382,2.0,9.0,23.000000000000004
2020-01-01,170402080302,7.420039746074289,1.0,2.0,9.0
2020-01-01,170402080304,15.085392654248441,6.999999999999999,22.93356541532075,25.000000000000004
2020-01-01,170402080307,7.85721026902314,1.0,7.000000000000002,9.095298847558638
2020-01-01,170402080308,7.255856038595185,1.0,2.179384133029052,9.000000000000004
2020-01-01,170402080401,20.78395691386988,22.000000000000018,22.999999999999996,24.000000000000004
2020-01-01,170402080403,23.568182192498572,24.0,26.000000000000004,26.000000000000004
2020-01-01,170402080205,10.907821571129636,2.0,3.0000000000000004,24.999999999999996
2020-01-01,170402080402,22.768591198532587,22.999999999999996,23.99999999999999,23.99999999999999
2020-01-01,170402080404,23.330098007768406,26.0,27.000000000000004,27.000000000000004
2020-02-01,170402080608,16.61709099776701,13.999999999999988,16.39778335160581,19.673589726413546
2020-02-01,170402080102,3.4197964483560597,1.0,1.0,2.0
2020-02-01,170402080104,9.027741003730894,1.0,2.999999999999999,16.0
2020-02-01,170402080106,2.5081584672608606,2.0,2.0,2.0
