Year,UID,Shrub/Scrub,Open_Water,Emergent_Herbaceous_Wetlands,Barren_Land,Grassland/Herbaceous,"Developed,_High_Intensity",Woody_Wetlands,Evergreen_Forest,Cultivated_Crops,Pasture/Hay,"Developed,_Medium_Intensity",Deciduous_Forest,"Developed,_Low_Intensity","Developed,_Open_Space"
2023,101,904904.2313725501,5334.0,10673.580392156862,28.0,16376.764705882353,43.0,9867.203921568627,315401.99607843126,267908.14901960775,33550.27450980392,795.9019607843138,57384.79607843137,13680.607843137253,21361.960784313727
2023,102,1032486.8235294108,1151.0,23330.4,68.0,24384.10196078432,164.0,4652.564705882353,227107.05490196083,231776.04313725492,37377.26666666667,4118.64705882353,46666.27843137254,26057.38823529412,30832.384313725488
2023,103,639767.4666666675,60496.078431372494,29710.713725490197,559.0,135724.68627450985,7624.266666666666,69173.20000000001,105654.38823529407,276959.0509803922,9959.086274509804,28579.796078431373,23188.756862745096,65802.66274509804,25804.14117647059
2010,101,970718.6392156878,5176.0,10837.580392156862,123.0,8446.423529411764,33.0,9837.203921568627,290886.9450980391,246504.9294117646,31549.364705882355,749.3333333333334,51059.039215686265,13438.450980392157,17950.5568627451
2010,102,1051472.6784313712,937.0,22313.4,68.0,48772.27450980393,145.0,4638.654901960785,210147.41568627453,221406.8980392157,35968.26666666667,3909.7333333333336,38572.015686274506,25523.33725490196,26297.27843137255
2010,103,643293.4196078436,60301.3803921568,27936.27843137255,437.6941176470588,135509.88627450977,7546.717647058824,71196.81960784314,97202.79215686268,298217.4313725491,9225.905882352941,26265.607843137255,18306.015686274513,62812.396078431375,20750.949019607848
2007,101,986356.49019608,3837.0,10831.580392156862,381.0,10366.635294117646,33.0,9859.203921568627,284499.9411764704,237215.3529411764,32040.36078431373,624.9568627450981,50649.10588235293,12345.18039215686,18270.65882352941
2007,102,1056277.5490196066,990.0,21798.4,68.0,54785.69019607843,139.0,4702.654901960784,205840.94901960783,218010.89019607846,36116.2705882353,3635.7333333333336,37044.2862745098,24095.176470588238,26667.352941176472
2007,103,637164.5686274514,42342.941176470566,27954.454901960788,10313.403921568628,151397.31764705884,7407.717647058824,72316.5137254902,95531.74901960779,298528.21176470595,10813.905882352941,25295.513725490197,17531.898039215685,60648.79607843138,21756.30196078431
2009,101,980173.7450980408,5754.0,10762.580392156862,18.0,8181.474509803922,33.0,9825.203921568627,288509.31764705875,239566.36470588227,31528.36078431373,723.3333333333334,51161.039215686265,12933.156862745098,18140.89019607843
2009,102,1050866.9960784302,1003.0,22100.4,68.0,51135.666666666664,142.0,4668.654901960785,208476.36078431373,222222.87843137258,36090.2705882353,3775.733333333333,38132.015686274506,25057.698039215684,26432.278431372553
2009,103,638229.1215686279,62985.18431372543,27634.823529411762,134.69411764705882,141001.45882352942,7521.717647058824,69749.9843137255,96593.78823529407,298843.8392156863,9066.905882352941,26080.513725490197,18112.015686274513,61871.58039215686,21177.66666666667
2014,101,934170.3019607855,1763.0,10479.580392156862,543.0,11287.04705882353,37.0,9872.203921568627,299060.662745098,271411.01568627445,32932.364705882355,760.9019607843138,52532.61176470588,13784.713725490195,18676.062745098043
